file_path,mask,xmin,ymin,xmax,ymax
./Dataset/Face-Mask-Detection-master\without_mask\0_0_baibaihe_0236.jpg,without_mask,0,0,158,145
./Dataset/Face-Mask-Detection-master\without_mask\0_0_baobeier_0014.jpg,without_mask,0,0,107,109
./Dataset/Face-Mask-Detection-master\without_mask\0_0_baobeier_0016.jpg,without_mask,0,0,144,139
./Dataset/Face-Mask-Detection-master\without_mask\0_0_baobeier_0020.jpg,without_mask,0,0,134,143
./Dataset/Face-Mask-Detection-master\without_mask\0_0_baobeier_0046.jpg,without_mask,0,0,139,139
./Dataset/Face-Mask-Detection-master\without_mask\0_0_baobeier_0062.jpg,without_mask,0,0,141,131
./Dataset/Face-Mask-Detection-master\without_mask\0_0_baobeier_0064.jpg,without_mask,0,0,139,122
./Dataset/Face-Mask-Detection-master\without_mask\0_0_baobeier_0098.jpg,without_mask,0,0,152,136
./Dataset/Face-Mask-Detection-master\without_mask\0_0_baobeier_0099.jpg,without_mask,0,0,160,138
./Dataset/Face-Mask-Detection-master\without_mask\0_0_baobeier_0140.jpg,without_mask,0,0,153,134
./Dataset/Face-Mask-Detection-master\without_mask\0_0_benxi_0054.jpg,without_mask,0,0,133,119
./Dataset/Face-Mask-Detection-master\without_mask\0_0_benxi_0129.jpg,without_mask,0,0,133,118
./Dataset/Face-Mask-Detection-master\without_mask\0_0_benxi_0187.jpg,without_mask,0,0,135,134
./Dataset/Face-Mask-Detection-master\without_mask\0_0_caiguoqing_0007.jpg,without_mask,0,0,152,139
./Dataset/Face-Mask-Detection-master\without_mask\0_0_caiguoqing_0067.jpg,without_mask,0,0,153,139
./Dataset/Face-Mask-Detection-master\without_mask\0_0_caiguoqing_0093.jpg,without_mask,0,0,144,144
./Dataset/Face-Mask-Detection-master\without_mask\0_0_caiguoqing_0113.jpg,without_mask,0,0,147,153
./Dataset/Face-Mask-Detection-master\without_mask\0_0_caiguoqing_0130.jpg,without_mask,0,0,126,131
./Dataset/Face-Mask-Detection-master\without_mask\0_0_caiguoqing_0146.jpg,without_mask,0,0,136,140
./Dataset/Face-Mask-Detection-master\without_mask\0_0_caiyilin_0024.jpg,without_mask,0,0,147,142
./Dataset/Face-Mask-Detection-master\without_mask\0_0_caiyilin_0029.jpg,without_mask,0,0,143,119
./Dataset/Face-Mask-Detection-master\without_mask\0_0_caiyilin_0050.jpg,without_mask,0,0,148,142
./Dataset/Face-Mask-Detection-master\without_mask\0_0_caiyilin_0051.jpg,without_mask,0,0,148,147
./Dataset/Face-Mask-Detection-master\without_mask\0_0_caiyilin_0100.jpg,without_mask,0,0,137,143
./Dataset/Face-Mask-Detection-master\without_mask\0_0_caiyilin_0101.jpg,without_mask,0,0,145,140
./Dataset/Face-Mask-Detection-master\without_mask\0_0_caizhuoyan_0001.jpg,without_mask,0,0,140,119
./Dataset/Face-Mask-Detection-master\without_mask\0_0_caizhuoyan_0004.jpg,without_mask,0,0,148,140
./Dataset/Face-Mask-Detection-master\without_mask\0_0_caizhuoyan_0009.jpg,without_mask,0,0,134,137
./Dataset/Face-Mask-Detection-master\without_mask\0_0_caizhuoyan_0013.jpg,without_mask,0,0,142,119
./Dataset/Face-Mask-Detection-master\without_mask\0_0_caizhuoyan_0014.jpg,without_mask,0,0,156,137
./Dataset/Face-Mask-Detection-master\without_mask\0_0_caizhuoyan_0017.jpg,without_mask,0,0,150,143
./Dataset/Face-Mask-Detection-master\without_mask\0_0_caizhuoyan_0027.jpg,without_mask,0,0,154,131
./Dataset/Face-Mask-Detection-master\without_mask\0_0_caizhuoyan_0029.jpg,without_mask,0,0,138,136
./Dataset/Face-Mask-Detection-master\without_mask\0_0_caizhuoyan_0041.jpg,without_mask,0,0,131,147
./Dataset/Face-Mask-Detection-master\without_mask\0_0_caizhuoyan_0046.jpg,without_mask,0,0,150,139
./Dataset/Face-Mask-Detection-master\without_mask\0_0_caizhuoyan_0048.jpg,without_mask,0,0,145,137
./Dataset/Face-Mask-Detection-master\without_mask\0_0_caizhuoyan_0065.jpg,without_mask,0,0,140,136
./Dataset/Face-Mask-Detection-master\without_mask\0_0_caizhuoyan_0067.jpg,without_mask,0,0,153,142
./Dataset/Face-Mask-Detection-master\without_mask\0_0_caizhuoyan_0068.jpg,without_mask,0,0,132,109
./Dataset/Face-Mask-Detection-master\without_mask\0_0_cengyongti_0003.jpg,without_mask,0,0,159,142
./Dataset/Face-Mask-Detection-master\without_mask\0_0_cengyongti_0016.jpg,without_mask,0,0,126,131
./Dataset/Face-Mask-Detection-master\without_mask\0_0_cengyongti_0037.jpg,without_mask,0,0,123,141
./Dataset/Face-Mask-Detection-master\without_mask\0_0_cengyongti_0042.jpg,without_mask,0,0,153,139
./Dataset/Face-Mask-Detection-master\without_mask\0_0_cengyongti_0058.jpg,without_mask,0,0,132,138
./Dataset/Face-Mask-Detection-master\without_mask\0_0_cengyongti_0063.jpg,without_mask,0,0,142,116
./Dataset/Face-Mask-Detection-master\without_mask\0_0_cengyongti_0087.jpg,without_mask,0,0,152,138
./Dataset/Face-Mask-Detection-master\without_mask\0_0_cengyongti_0091.jpg,without_mask,0,0,153,123
./Dataset/Face-Mask-Detection-master\without_mask\0_0_changshilei_0182.jpg,without_mask,0,0,158,129
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenglong_0036.jpg,without_mask,0,0,155,140
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenglong_0063.jpg,without_mask,0,0,145,140
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenglong_0070.jpg,without_mask,0,0,139,135
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenhaomin_0023.jpg,without_mask,0,0,136,133
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenhaomin_0053.jpg,without_mask,0,0,125,120
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenhaomin_0114.jpg,without_mask,0,0,153,139
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenhaomin_0117.jpg,without_mask,0,0,126,131
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenhaomin_0120.jpg,without_mask,0,0,142,140
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenhe_0007.jpg,without_mask,0,0,141,116
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenhe_0031.jpg,without_mask,0,0,150,128
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenhe_0049.jpg,without_mask,0,0,158,143
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenhuilin_0018.jpg,without_mask,0,0,135,130
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenhuilin_0023.jpg,without_mask,0,0,128,119
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenhuilin_0048.jpg,without_mask,0,0,151,131
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenhuilin_0076.jpg,without_mask,0,0,138,130
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenhuilin_0085.jpg,without_mask,0,0,123,129
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenhuilin_0094.jpg,without_mask,0,0,142,131
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenhuilin_0096.jpg,without_mask,0,0,156,133
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenhuilin_0099.jpg,without_mask,0,0,146,127
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenhuilin_0104.jpg,without_mask,0,0,148,131
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenhuilin_0114.jpg,without_mask,0,0,136,135
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenxiang_0005.jpg,without_mask,0,0,115,122
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenxiang_0006.jpg,without_mask,0,0,137,139
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenxiang_0038.jpg,without_mask,0,0,158,144
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenxiang_0039.jpg,without_mask,0,0,150,138
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenxiang_0070.jpg,without_mask,0,0,146,153
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenxiang_0071.jpg,without_mask,0,0,146,117
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenxuedong_0049.jpg,without_mask,0,0,129,108
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenxuedong_0050.jpg,without_mask,0,0,134,145
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenxuedong_0070.jpg,without_mask,0,0,145,139
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenxuedong_0074.jpg,without_mask,0,0,157,141
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenyao_0013.jpg,without_mask,0,0,159,137
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenyao_0016.jpg,without_mask,0,0,153,116
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenyao_0024.jpg,without_mask,0,0,151,141
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenyao_0027.jpg,without_mask,0,0,142,133
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenyao_0033.jpg,without_mask,0,0,149,140
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenyao_0038.jpg,without_mask,0,0,146,146
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenyao_0043.jpg,without_mask,0,0,148,135
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenyao_0044.jpg,without_mask,0,0,156,142
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenyao_0051.jpg,without_mask,0,0,150,144
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenyao_0053.jpg,without_mask,0,0,144,131
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenyao_0063.jpg,without_mask,0,0,156,116
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenyao_0065.jpg,without_mask,0,0,142,139
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenyao_0073.jpg,without_mask,0,0,147,104
./Dataset/Face-Mask-Detection-master\without_mask\0_0_chenyao_0074.jpg,without_mask,0,0,160,139
./Dataset/Face-Mask-Detection-master\without_mask\0_0_dongchengpeng_0001.jpg,without_mask,0,0,159,133
./Dataset/Face-Mask-Detection-master\without_mask\0_0_dongchengpeng_0004.jpg,without_mask,0,0,148,132
./Dataset/Face-Mask-Detection-master\without_mask\0_0_dongchengpeng_0005.jpg,without_mask,0,0,157,133
./Dataset/Face-Mask-Detection-master\without_mask\0_0_dongchengpeng_0016.jpg,without_mask,0,0,139,108
./Dataset/Face-Mask-Detection-master\without_mask\0_0_dongchengpeng_0018.jpg,without_mask,0,0,141,109
./Dataset/Face-Mask-Detection-master\without_mask\0_0_dongchengpeng_0020.jpg,without_mask,0,0,151,129
./Dataset/Face-Mask-Detection-master\without_mask\0_0_dongchengpeng_0021.jpg,without_mask,0,0,157,121
./Dataset/Face-Mask-Detection-master\without_mask\0_0_dongchengpeng_0042.jpg,without_mask,0,0,156,141
./Dataset/Face-Mask-Detection-master\without_mask\0_0_fanshiqi_0002.jpg,without_mask,0,0,146,147
./Dataset/Face-Mask-Detection-master\without_mask\0_0_fanshiqi_0012.jpg,without_mask,0,0,154,142
./Dataset/Face-Mask-Detection-master\without_mask\0_0_fanshiqi_0029.jpg,without_mask,0,0,128,130
./Dataset/Face-Mask-Detection-master\without_mask\0_0_fanshiqi_0089.jpg,without_mask,0,0,145,141
./Dataset/Face-Mask-Detection-master\without_mask\0_0_fanshiqi_0092.jpg,without_mask,0,0,153,141
./Dataset/Face-Mask-Detection-master\without_mask\0_0_fanshiqi_0094.jpg,without_mask,0,0,152,139
./Dataset/Face-Mask-Detection-master\without_mask\0_0_fanwei_0012.jpg,without_mask,0,0,145,147
./Dataset/Face-Mask-Detection-master\without_mask\0_0_fanwei_0017.jpg,without_mask,0,0,130,121
./Dataset/Face-Mask-Detection-master\without_mask\0_0_fanyichen_0011.jpg,without_mask,0,0,134,142
./Dataset/Face-Mask-Detection-master\without_mask\0_0_fanyichen_0018.jpg,without_mask,0,0,160,134
./Dataset/Face-Mask-Detection-master\without_mask\0_0_fanyichen_0029.jpg,without_mask,0,0,131,136
./Dataset/Face-Mask-Detection-master\without_mask\0_0_fanyichen_0040.jpg,without_mask,0,0,142,142
./Dataset/Face-Mask-Detection-master\without_mask\0_0_fanyichen_0049.jpg,without_mask,0,0,107,111
./Dataset/Face-Mask-Detection-master\without_mask\0_0_fanyichen_0053.jpg,without_mask,0,0,148,131
./Dataset/Face-Mask-Detection-master\without_mask\0_0_fanyichen_0063.jpg,without_mask,0,0,157,125
./Dataset/Face-Mask-Detection-master\without_mask\0_0_fanyichen_0068.jpg,without_mask,0,0,129,139
./Dataset/Face-Mask-Detection-master\without_mask\0_0_fanyichen_0078.jpg,without_mask,0,0,160,140
./Dataset/Face-Mask-Detection-master\without_mask\0_0_fanyichen_0081.jpg,without_mask,0,0,125,140
./Dataset/Face-Mask-Detection-master\without_mask\0_0_fanyichen_0091.jpg,without_mask,0,0,141,144
./Dataset/Face-Mask-Detection-master\without_mask\0_0_fanyichen_0099.jpg,without_mask,0,0,135,131
./Dataset/Face-Mask-Detection-master\without_mask\0_0_fengjianyu_0036.jpg,without_mask,0,0,147,135
./Dataset/Face-Mask-Detection-master\without_mask\0_0_fengjianyu_0042.jpg,without_mask,0,0,134,135
./Dataset/Face-Mask-Detection-master\without_mask\0_0_fengjianyu_0059.jpg,without_mask,0,0,146,136
./Dataset/Face-Mask-Detection-master\without_mask\0_0_fengjianyu_0072.jpg,without_mask,0,0,143,116
./Dataset/Face-Mask-Detection-master\without_mask\0_0_guanyue_0010.jpg,without_mask,0,0,140,133
./Dataset/Face-Mask-Detection-master\without_mask\0_0_guanyue_0011.jpg,without_mask,0,0,155,110
./Dataset/Face-Mask-Detection-master\without_mask\0_0_guanyue_0040.jpg,without_mask,0,0,144,138
./Dataset/Face-Mask-Detection-master\without_mask\0_0_guanyue_0048.jpg,without_mask,0,0,141,137
./Dataset/Face-Mask-Detection-master\without_mask\0_0_guanyue_0072.jpg,without_mask,0,0,152,133
./Dataset/Face-Mask-Detection-master\without_mask\0_0_guanyue_0083.jpg,without_mask,0,0,156,132
./Dataset/Face-Mask-Detection-master\without_mask\0_0_gulinazha_0035.jpg,without_mask,0,0,132,118
./Dataset/Face-Mask-Detection-master\without_mask\0_0_gulinazha_0038.jpg,without_mask,0,0,151,136
./Dataset/Face-Mask-Detection-master\without_mask\0_0_gulinazha_0058.jpg,without_mask,0,0,158,140
./Dataset/Face-Mask-Detection-master\without_mask\0_0_gulinazha_0060.jpg,without_mask,0,0,143,143
./Dataset/Face-Mask-Detection-master\without_mask\0_0_gulinazha_0078.jpg,without_mask,0,0,143,142
./Dataset/Face-Mask-Detection-master\without_mask\0_0_gulinazha_0082.jpg,without_mask,0,0,148,141
./Dataset/Face-Mask-Detection-master\without_mask\0_0_gulinazha_0149.jpg,without_mask,0,0,142,138
./Dataset/Face-Mask-Detection-master\without_mask\0_0_gulinazha_0172.jpg,without_mask,0,0,145,142
./Dataset/Face-Mask-Detection-master\without_mask\0_0_haiqing_0170.jpg,without_mask,0,0,141,137
./Dataset/Face-Mask-Detection-master\without_mask\0_0_haiqing_0173.jpg,without_mask,0,0,153,133
./Dataset/Face-Mask-Detection-master\without_mask\0_0_hanxue_0004.jpg,without_mask,0,0,137,131
./Dataset/Face-Mask-Detection-master\without_mask\0_0_hanxue_0010.jpg,without_mask,0,0,139,119
./Dataset/Face-Mask-Detection-master\without_mask\0_0_hanxue_0021.jpg,without_mask,0,0,147,109
./Dataset/Face-Mask-Detection-master\without_mask\0_0_hanxue_0062.jpg,without_mask,0,0,148,130
./Dataset/Face-Mask-Detection-master\without_mask\0_0_hanxue_0073.jpg,without_mask,0,0,149,119
./Dataset/Face-Mask-Detection-master\without_mask\0_0_hanxue_0085.jpg,without_mask,0,0,147,140
./Dataset/Face-Mask-Detection-master\without_mask\0_0_hanxue_0088.jpg,without_mask,0,0,146,143
./Dataset/Face-Mask-Detection-master\without_mask\0_0_hanxue_0091.jpg,without_mask,0,0,136,130
./Dataset/Face-Mask-Detection-master\without_mask\0_0_hanxue_0096.jpg,without_mask,0,0,142,116
./Dataset/Face-Mask-Detection-master\without_mask\0_0_huangjinglun_0004.jpg,without_mask,0,0,141,133
./Dataset/Face-Mask-Detection-master\without_mask\0_0_huangjinglun_0008.jpg,without_mask,0,0,156,134
./Dataset/Face-Mask-Detection-master\without_mask\0_0_huangjinglun_0010.jpg,without_mask,0,0,151,117
./Dataset/Face-Mask-Detection-master\without_mask\0_0_huangjinglun_0017.jpg,without_mask,0,0,148,137
./Dataset/Face-Mask-Detection-master\without_mask\0_0_huangtingting_0008.jpg,without_mask,0,0,149,133
./Dataset/Face-Mask-Detection-master\without_mask\0_0_huangtingting_0010.jpg,without_mask,0,0,141,144
./Dataset/Face-Mask-Detection-master\without_mask\0_0_huangtingting_0034.jpg,without_mask,0,0,144,105
./Dataset/Face-Mask-Detection-master\without_mask\0_0_huangtingting_0035.jpg,without_mask,0,0,146,143
./Dataset/Face-Mask-Detection-master\without_mask\0_0_huge_0018.jpg,without_mask,0,0,144,141
./Dataset/Face-Mask-Detection-master\without_mask\0_0_huge_0019.jpg,without_mask,0,0,153,137
./Dataset/Face-Mask-Detection-master\without_mask\0_0_huge_0029.jpg,without_mask,0,0,147,144
./Dataset/Face-Mask-Detection-master\without_mask\0_0_huge_0039.jpg,without_mask,0,0,158,136
./Dataset/Face-Mask-Detection-master\without_mask\0_0_huge_0045.jpg,without_mask,0,0,144,143
./Dataset/Face-Mask-Detection-master\without_mask\0_0_huge_0061.jpg,without_mask,0,0,121,129
./Dataset/Face-Mask-Detection-master\without_mask\0_0_huxia_0097.jpg,without_mask,0,0,138,119
./Dataset/Face-Mask-Detection-master\without_mask\0_0_jianailiang_0005.jpg,without_mask,0,0,143,118
./Dataset/Face-Mask-Detection-master\without_mask\0_0_jianailiang_0006.jpg,without_mask,0,0,143,138
./Dataset/Face-Mask-Detection-master\without_mask\0_0_jianailiang_0007.jpg,without_mask,0,0,141,132
./Dataset/Face-Mask-Detection-master\without_mask\0_0_jianailiang_0015.jpg,without_mask,0,0,122,121
./Dataset/Face-Mask-Detection-master\without_mask\0_0_jianailiang_0024.jpg,without_mask,0,0,125,141
./Dataset/Face-Mask-Detection-master\without_mask\0_0_jianailiang_0030.jpg,without_mask,0,0,149,110
./Dataset/Face-Mask-Detection-master\without_mask\0_0_jiayuanyuan_0015.jpg,without_mask,0,0,114,154
./Dataset/Face-Mask-Detection-master\without_mask\0_0_jiayuanyuan_0022.jpg,without_mask,0,0,154,134
./Dataset/Face-Mask-Detection-master\without_mask\0_0_jiayuanyuan_0042.jpg,without_mask,0,0,156,135
./Dataset/Face-Mask-Detection-master\without_mask\0_0_jiayuanyuan_0059.jpg,without_mask,0,0,126,133
./Dataset/Face-Mask-Detection-master\without_mask\0_0_jiayuanyuan_0130.jpg,without_mask,0,0,151,140
./Dataset/Face-Mask-Detection-master\without_mask\0_0_jiayuanyuan_0134.jpg,without_mask,0,0,155,139
./Dataset/Face-Mask-Detection-master\without_mask\0_0_jiayuanyuan_0154.jpg,without_mask,0,0,143,140
./Dataset/Face-Mask-Detection-master\without_mask\0_0_jiayuanyuan_0172.jpg,without_mask,0,0,147,141
./Dataset/Face-Mask-Detection-master\without_mask\0_0_jiayuanyuan_0175.jpg,without_mask,0,0,158,141
./Dataset/Face-Mask-Detection-master\without_mask\0_0_jiayuanyuan_0179.jpg,without_mask,0,0,145,114
./Dataset/Face-Mask-Detection-master\without_mask\0_0_jiayuanyuan_0189.jpg,without_mask,0,0,143,112
./Dataset/Face-Mask-Detection-master\without_mask\0_0_jiayuanyuan_0194.jpg,without_mask,0,0,128,112
./Dataset/Face-Mask-Detection-master\without_mask\0_0_jinchen_0071.jpg,without_mask,0,0,135,111
./Dataset/Face-Mask-Detection-master\without_mask\0_0_jinchen_0082.jpg,without_mask,0,0,144,134
./Dataset/Face-Mask-Detection-master\without_mask\0_0_jinchen_0120.jpg,without_mask,0,0,147,138
./Dataset/Face-Mask-Detection-master\without_mask\0_0_jinchen_0125.jpg,without_mask,0,0,143,144
./Dataset/Face-Mask-Detection-master\without_mask\0_0_jingbairan_0003.jpg,without_mask,0,0,137,137
./Dataset/Face-Mask-Detection-master\without_mask\0_0_jingbairan_0004.jpg,without_mask,0,0,129,135
./Dataset/Face-Mask-Detection-master\without_mask\0_0_jingbairan_0007.jpg,without_mask,0,0,135,142
./Dataset/Face-Mask-Detection-master\without_mask\0_0_jingbairan_0014.jpg,without_mask,0,0,146,131
./Dataset/Face-Mask-Detection-master\without_mask\0_0_jingbairan_0018.jpg,without_mask,0,0,150,142
./Dataset/Face-Mask-Detection-master\without_mask\0_0_jingbairan_0019.jpg,without_mask,0,0,136,143
./Dataset/Face-Mask-Detection-master\without_mask\0_0_jinggangshan_0011.jpg,without_mask,0,0,151,142
./Dataset/Face-Mask-Detection-master\without_mask\0_0_jinggangshan_0019.jpg,without_mask,0,0,130,117
./Dataset/Face-Mask-Detection-master\without_mask\0_0_jinggangshan_0070.jpg,without_mask,0,0,145,142
./Dataset/Face-Mask-Detection-master\without_mask\0_0_jinggangshan_0083.jpg,without_mask,0,0,139,140
./Dataset/Face-Mask-Detection-master\without_mask\0_0_lanxi_0036.jpg,without_mask,0,0,93,139
./Dataset/Face-Mask-Detection-master\without_mask\0_0_lanxi_0037.jpg,without_mask,0,0,153,119
./Dataset/Face-Mask-Detection-master\without_mask\0_0_lanxi_0072.jpg,without_mask,0,0,153,131
./Dataset/Face-Mask-Detection-master\without_mask\0_0_lanxi_0080.jpg,without_mask,0,0,136,130
./Dataset/Face-Mask-Detection-master\without_mask\0_0_licaihua_0002.jpg,without_mask,0,0,146,138
./Dataset/Face-Mask-Detection-master\without_mask\0_0_licaihua_0004.jpg,without_mask,0,0,144,137
./Dataset/Face-Mask-Detection-master\without_mask\0_0_licaihua_0031.jpg,without_mask,0,0,143,141
./Dataset/Face-Mask-Detection-master\without_mask\0_0_licaihua_0036.jpg,without_mask,0,0,144,120
./Dataset/Face-Mask-Detection-master\without_mask\0_0_licaihua_0058.jpg,without_mask,0,0,154,117
./Dataset/Face-Mask-Detection-master\without_mask\0_0_licaihua_0066.jpg,without_mask,0,0,139,137
./Dataset/Face-Mask-Detection-master\without_mask\0_0_lijian_0006.jpg,without_mask,0,0,147,134
./Dataset/Face-Mask-Detection-master\without_mask\0_0_lijian_0012.jpg,without_mask,0,0,159,138
./Dataset/Face-Mask-Detection-master\without_mask\0_0_lijian_0035.jpg,without_mask,0,0,133,144
./Dataset/Face-Mask-Detection-master\without_mask\0_0_lijian_0054.jpg,without_mask,0,0,148,136
./Dataset/Face-Mask-Detection-master\without_mask\0_0_lijinming_0045.jpg,without_mask,0,0,143,139
./Dataset/Face-Mask-Detection-master\without_mask\0_0_lijinming_0048.jpg,without_mask,0,0,137,109
./Dataset/Face-Mask-Detection-master\without_mask\0_0_lijinming_0070.jpg,without_mask,0,0,152,142
./Dataset/Face-Mask-Detection-master\without_mask\0_0_lijinming_0072.jpg,without_mask,0,0,144,129
./Dataset/Face-Mask-Detection-master\without_mask\0_0_likeqin_0045.jpg,without_mask,0,0,156,138
./Dataset/Face-Mask-Detection-master\without_mask\0_0_likeqin_0062.jpg,without_mask,0,0,140,121
./Dataset/Face-Mask-Detection-master\without_mask\0_0_likeqin_0106.jpg,without_mask,0,0,148,137
./Dataset/Face-Mask-Detection-master\without_mask\0_0_likeqin_0146.jpg,without_mask,0,0,146,134
./Dataset/Face-Mask-Detection-master\without_mask\0_0_linyilian_0020.jpg,without_mask,0,0,144,80
./Dataset/Face-Mask-Detection-master\without_mask\0_0_linyilian_0092.jpg,without_mask,0,0,115,112
./Dataset/Face-Mask-Detection-master\without_mask\0_0_linyilian_0157.jpg,without_mask,0,0,159,108
./Dataset/Face-Mask-Detection-master\without_mask\0_0_linyilun_0040.jpg,without_mask,0,0,144,135
./Dataset/Face-Mask-Detection-master\without_mask\0_0_linyilun_0041.jpg,without_mask,0,0,136,118
./Dataset/Face-Mask-Detection-master\without_mask\0_0_linyilun_0046.jpg,without_mask,0,0,154,132
./Dataset/Face-Mask-Detection-master\without_mask\0_0_linyilun_0062.jpg,without_mask,0,0,147,153
./Dataset/Face-Mask-Detection-master\without_mask\0_0_linyilun_0073.jpg,without_mask,0,0,146,118
./Dataset/Face-Mask-Detection-master\without_mask\0_0_liudehua_0004.jpg,without_mask,0,0,157,142
